procedencia,tipo_vehiculo,n_personas,n_vehiculos
Uruguay,Barco,314,1
United States of America,Avión,882,14
Colombia,Avión,184,5
México,Avión,440,8
Perú,Avión,253,8
Brasil,Avión,565,10
Chile,Avión,360,8
Argentina,Ómnibus,44,4
Brazil,Ómnibus,357,43
Perú,Ómnibus,6,1
Chile,Ómnibus,62,8
Bolivia,Ómnibus,126,10
Uruguay,Ómnibus,14,1
France,Avión,216,2
United Kingdom,Avión,99,2
Spain,Avión,779,12
Italy,Avión,140,3
República Dominicana,Avión,101,3
Uruguay,Avión,63,1
Ecuador,Avión,283,11
Panamá,Avión,390,13
Cuba,Avión,92,2
Emiratos Árabes,Avión,213,2
Etiopía,Avión,121,2
Costa Rica,Avión,51,1
Australia,Avión,74,2
Germany,Avión,220,4
Qatar,Avión,256,3
Turkey,Avión,136,3
Switzerland,Avión,95,2
